size,threads,num_chunks,mean,min
100000,1,2,691.2,638
100000,2,2,563.5,447
100000,4,2,255.1,232
100000,8,2,222.1,202
100000,16,2,324.7,289
100000,24,2,394.2,346
10000000,1,2,38888.6,38416
10000000,2,2,20405.7,20230
10000000,4,2,12253.0,10784
10000000,8,2,6687.4,6300
10000000,16,2,5986.2,5815
10000000,24,2,5598.2,4948
1000000000,1,2,4409441.9,4343512
1000000000,2,2,2565590.1,2521045
1000000000,4,2,1468516.6,1454941
1000000000,8,2,885852.8,850795
1000000000,16,2,654561.6,581167
1000000000,24,2,564739.9,531801
